H [mm],Nγ [ ],γAH' [N],Pmax [N]
90.0,7.178479040827641,1.2649815809964386,9.080643766215948
90.0,13.881967051012698,0.6309417572476642,8.758712685220127
90.0,9.291624704333245,1.2649815809964386,11.753734108513035
90.0,17.113596941773643,0.6309417572476642,10.797682927270914
90.0,11.142517024530566,1.2649815809964386,14.095078801970407
90.0,3.914029800590126,2.407742793558479,9.423977046144007
60.0,3.056072119469309,1.4518624866809922,4.436996466849161
90.0,2.2732688628551454,4.900035892548349,11.139099021402782
90.0,4.64662702170877,2.407742793558479,11.187882725873392
90.0,5.004871747174982,2.407742793558479,12.050443881944998
120.0,6.2844936980971084,3.363623100435967,21.138668177463693
120.0,6.652694881455251,3.363623100435967,22.377158183415002
150.0,8.307339135203517,4.319503407313454,35.88357970022
60.0,3.9699096376245393,1.4518624866809922,5.7637628783804
90.0,2.9780576562549204,4.900035892548348,14.592589405727521
90.0,5.768971928827077,2.407742793558479,13.890200587874554
120.0,7.839083839578151,3.363623100435967,26.367723489059344
120.0,8.307445789322596,3.3636231004359676,27.943116562584994
150.0,10.757543064708598,4.319503407313454,46.467243922330006
90.0,6.838655140256832,2.407742793558479,16.465722631585038
90.0,7.041238280986825,2.407742793558479,16.95349072877412
90.0,7.478834639969814,2.407742793558479,18.007110208602843
90.0,3.6741270874363527,2.602118613166494,9.560514481357332
60.0,3.2700205430053524,1.6462383062890062,5.383233080247388
90.0,1.44016197686507,10.369720768245529,14.934077561135252
90.0,2.839659680642661,4.984261161403871,14.153605457831734
90.0,5.004374008140236,2.602118613166494,13.02197475382832
90.0,5.637384843963455,2.602118613166494,14.669144032059997
120.0,6.89808309106465,3.5579989200439814,24.543372188381674
120.0,7.148199999769987,3.5579989200439814,25.43328787944
150.0,9.383890546864189,4.5138792269214685,42.357748607195
60.0,4.12339039622626,1.6462383062890062,6.788083222051873
90.0,2.0958855122872575,10.369720768245529,21.733747524630093
90.0,3.743928080351473,4.984261161403871,18.660715321985197
90.0,6.294062538701505,2.602118613166494,16.377897284389142
90.0,6.143208541776489,2.602118613166494,15.985357291119998
120.0,8.337585013585882,3.5579989200439814,29.665118474113452
120.0,8.579410442313362,3.557998920043982,30.525533088365002
150.0,10.608928807049612,4.5138792269214685,47.88742336203
90.0,4.180402914445543,4.984261161403871,20.83621988549047
90.0,6.646471354301554,2.602118613166494,17.29490682290599
90.0,4.403534418765457,4.984261161403871,21.948365576357833
90.0,6.923916774587893,2.602118613166494,18.01685271517087
90.0,4.791086407714096,4.984261161403871,23.880025902899362
90.0,6.732722337393618,2.602118613166494,17.519342111413756
90.0,3.867266283667493,2.714341544941135,10.497081539108784
90.0,2.4504358050363866,7.80636603968365,19.128998850860913
90.0,5.753506532654693,2.714341544941135,15.61698181067485
90.0,5.248575821158849,2.714341544941135,14.246427403144997
120.0,7.308827986931635,3.6702218518186225,26.82502018882
90.0,3.0378016397247047,7.80636603968365,23.71419155564224
90.0,6.53343103042875,2.714341544941135,17.733963276900326
90.0,7.040073020438337,2.714341544941135,19.109162678795
120.0,9.026304668949251,3.670221851818622,33.128540637149996
150.0,12.354234515829102,4.62610215869611,57.151950962715
90.0,6.490280628669575,2.714341544941135,17.616838348724496
90.0,5.841770439060721,2.796494432774508,16.336478510379997
