α [°],L [mm],H [mm],b [mm],Ls [mm],d [mm],P [ ],2π/n [rad],γ [N/mm3],Pmax [N],δ(Pmax) [mm],γAH' [N],Nγ [ ],Vroot [mm3],F/Nroot [ ],P0 [N],DR [ ],d50 [mm],φ [°]
15,75.0,90.0,19.4114,17.55556302831988,5.0,1.0,2.0943951023931957,1.6227528090000002e-05,9.080643766215946,0.4793945199999985,1.2649815809964386,7.178479040827641,4534.350557118027,185.58371027050168,0.04693902477297509,0.8,0.12,39.33
15,50.0,90.0,12.940999999999999,41.703708685546594,5.0,1.0,2.0943951023931957,1.6227528090000002e-05,8.758712685220129,0.6454851200000002,0.6309417572476642,13.881967051012698,3535.876731963809,229.55220644866498,0.15424938510491631,0.8,0.12,39.33
15,75.0,90.0,19.4114,17.55556302831988,5.0,1.0,1.0471975511965976,1.6227528090000002e-05,11.753734108513036,0.5501716199999991,1.2649815809964386,9.291624704333245,8267.564868262021,131.74573304661322,0.7200287064686859,0.8,0.12,39.33
15,50.0,90.0,12.940999999999999,41.703708685546594,5.0,1.0,1.0471975511965976,1.6227528090000002e-05,10.797682927270913,0.4954396999999988,0.6309417572476642,17.113596941773643,5796.469486737588,172.6256487573334,1.032217725719171,0.8,0.12,39.33
15,75.0,90.0,19.4114,17.55556302831988,5.0,1.0,0.0,1.6227528090000002e-05,14.095078801970407,0.3327450800000001,1.2649815809964386,11.142517024530566,23281.01164258249,56.10531017468272,2.017568487941233,0.8,0.12,39.33
30,50.0,90.0,25.0,46.69872981077806,5.0,1.0,3.1415926535897927,1.6227528090000002e-05,9.423977046144007,1.5503956799999992,2.4077427935584788,3.9140298005901264,2827.91895692997,308.82010613816675,0.34148815540773536,0.8,0.12,39.33
30,50.0,60.0,25.0,16.69872981077806,5.0,1.0,2.0943951023931957,1.6227528090000002e-05,4.436996466849162,0.8577224399999982,1.4518624866809922,3.056072119469309,3154.9882045997947,130.32557521685985,1.5395424524974817,0.8,0.12,39.33
30,75.0,90.0,37.5,25.048094716167103,5.0,1.0,2.0943951023931957,1.6227528090000002e-05,11.139099021402783,7.68458204,4.900035892548349,2.2732688628551454,4791.549157525702,215.43309665169838,1.2761375825403,0.8,0.12,39.33
30,50.0,90.0,25.0,46.69872981077806,5.0,1.0,2.0943951023931957,1.6227528090000002e-05,11.187882725873392,1.3981760200000026,2.4077427935584788,4.6466270217087695,3744.036827147881,276.9147574175313,1.471273735,0.8,0.12,39.33
30,50.0,90.0,25.0,46.69873,5.0,1.0,2.0943951023931957,1.6227528090000002e-05,12.050443881944997,0.8075167999999954,2.4077427935584788,5.004871747174981,3744.036827147881,298.2642762803784,2.4328356933299995,0.8,0.12,39.33
30,50.0,120.0,25.0,76.69872981077806,5.0,1.0,2.0943951023931957,1.6227528090000002e-05,21.138668177463693,3.5491343799999986,3.3636231004359667,6.2844936980971084,4333.085449695966,452.08351962628893,2.9150934581447117,0.8,0.12,39.33
30,50.0,120.0,25.0,76.69873,5.0,1.0,2.0943951023931957,1.6227528090000002e-05,22.377158183415,3.2270492873132124,3.3636231004359667,6.652694881455251,4333.085449695966,478.5705677322511,4.523873349554999,0.8,0.12,39.33
30,50.0,150.0,25.0,106.69873,5.0,1.0,2.0943951023931957,1.6227528090000002e-05,35.883579700220004,3.9941708917426975,4.319503407313453,8.307339135203518,4922.134072244054,675.5859818368417,5.215328473075,0.8,0.12,39.33
30,50.0,60.0,25.0,16.69872981077806,5.0,1.0,1.0471975511965976,1.6227528090000002e-05,5.7637628783804,0.6392570400000017,1.4518624866809922,3.9699096376245393,5745.8302135841695,92.95903879074578,0.2030335343982196,0.8,0.12,39.33
30,75.0,90.0,37.5,25.048094716167103,5.0,1.0,1.0471975511965976,1.6227528090000002e-05,14.59258940572752,6.92311544,4.900035892548348,2.9780576562549204,8855.012722880292,152.7149241376235,2.7102147992261676,0.8,0.12,39.33
30,50.0,90.0,25.0,46.69872981077806,5.0,1.0,1.0471975511965976,1.6227528090000002e-05,13.890200587874556,0.7424013600000011,2.4077427935584788,5.768971928827077,6334.878836132256,203.19289223779347,3.237024539140532,0.8,0.12,39.33
30,50.0,120.0,25.0,76.69872981077806,5.0,1.0,1.0471975511965976,1.6227528090000002e-05,26.367723489059344,1.0442879800000036,3.3636231004359667,7.8390838395781515,6923.927458680342,352.90550581784447,3.94915586356152,0.8,0.12,39.33
30,50.0,120.0,25.0,76.69873,5.0,1.0,1.0471975511965976,1.6227528090000002e-05,27.943116562584997,2.1126424599999982,3.363623100435968,8.307445789322596,6923.927458680342,373.9905604189815,7.764408272844999,0.8,0.12,39.33
30,50.0,150.0,25.0,106.69873,5.0,1.0,1.0471975511965976,1.6227528090000002e-05,46.467243922330006,2.71812004,4.319503407313453,10.757543064708598,7512.976081228429,573.1564914738217,9.977065060375,0.8,0.12,39.33
30,50.0,90.0,25.0,46.69872981077806,5.0,1.0,0.6981317007977318,1.6227528090000002e-05,16.465722631585038,0.5715025399999949,2.4077427935584788,6.838655140256832,8689.453442612594,175.60086147782573,4.241860314498643,0.8,0.12,39.33
30,50.0,90.0,25.0,46.69872981077806,5.0,1.0,0.5235987755982988,1.6227528090000002e-05,16.953490728774117,0.3792677200000013,2.4077427935584788,7.041238280986825,10807.760646588897,145.3656258856806,5.236953138466041,0.8,0.12,39.33
30,50.0,90.0,25.0,46.69872981077806,5.0,1.0,0.0,1.6227528090000002e-05,18.007110208602843,0.2950921200000003,2.4077427935584788,7.478834639969814,20595.51473189553,81.02325372218945,5.958826969455055,0.8,0.12,39.33
