n [count],H [mm],b [mm],d [mm],γ [N/mm3],Pmax [N],P0 [N]
3,90.0,19.4114,5.0,1.6227528090000002e-05,9.080643766215946,0.04693902477297509
3,90.0,12.940999999999999,5.0,1.6227528090000002e-05,8.758712685220129,0.15424938510491631
6,90.0,19.4114,5.0,1.6227528090000002e-05,11.753734108513036,0.7200287064686859
6,90.0,12.940999999999999,5.0,1.6227528090000002e-05,10.797682927270913,1.032217725719171
F,90.0,19.4114,5.0,1.6227528090000002e-05,14.095078801970407,2.017568487941233
2,90.0,25.0,5.0,1.6227528090000002e-05,9.423977046144007,0.34148815540773536
3,60.0,25.0,5.0,1.6227528090000002e-05,4.436996466849162,1.5395424524974817
3,90.0,37.5,5.0,1.6227528090000002e-05,11.139099021402783,1.2761375825403
3,90.0,25.0,5.0,1.6227528090000002e-05,11.187882725873392,1.471273735
3,90.0,25.0,5.0,1.6227528090000002e-05,12.050443881944997,2.4328356933299995
3,120.0,25.0,5.0,1.6227528090000002e-05,21.138668177463693,2.9150934581447117
3,120.0,25.0,5.0,1.6227528090000002e-05,22.377158183415,4.523873349554999
3,150.0,25.0,5.0,1.6227528090000002e-05,35.883579700220004,5.215328473075
6,60.0,25.0,5.0,1.6227528090000002e-05,5.7637628783804,0.2030335343982196
6,90.0,37.5,5.0,1.6227528090000002e-05,14.59258940572752,2.7102147992261676
6,90.0,25.0,5.0,1.6227528090000002e-05,13.890200587874556,3.237024539140532
6,120.0,25.0,5.0,1.6227528090000002e-05,26.367723489059344,3.94915586356152
6,120.0,25.0,5.0,1.6227528090000002e-05,27.943116562584997,7.764408272844999
6,150.0,25.0,5.0,1.6227528090000002e-05,46.467243922330006,9.977065060375
9,90.0,25.0,5.0,1.6227528090000002e-05,16.465722631585038,4.241860314498643
12,90.0,25.0,5.0,1.6227528090000002e-05,16.953490728774117,5.236953138466041
F,90.0,25.0,5.0,1.6227528090000002e-05,18.007110208602843,5.958826969455055
2,90.0,25.0,5.0,1.6227528090000002e-05,9.560514481357332,0.8096991781849023
3,60.0,25.0,5.0,1.6227528090000002e-05,5.383233080247388,2.222446702037085
3,90.0,53.033,5.0,1.6227528090000002e-05,14.934077561135252,2.202890072447857
3,90.0,35.3553,5.0,1.6227528090000002e-05,14.153605457831734,2.2809733578984117
3,90.0,25.0,5.0,1.6227528090000002e-05,13.02197475382832,2.3882837182303525
3,90.0,25.0,5.0,1.6227528090000002e-05,14.669144032059993,3.199809867169998
3,120.0,25.0,5.0,1.6227528090000002e-05,24.543372188381678,2.5346357212875668
3,120.0,25.0,5.0,1.6227528090000002e-05,25.433287879439998,6.266749433489999
3,150.0,25.0,5.0,1.6227528090000002e-05,42.357748607195,6.302060238144999
6,60.0,25.0,5.0,1.6227528090000002e-05,6.788083222051872,2.7395143802061104
6,90.0,53.033,5.0,1.6227528090000002e-05,21.733747524630093,5.188169433995428
6,90.0,35.3553,5.0,1.6227528090000002e-05,18.6607153219852,4.388212317555862
