n [count],α [°],L [mm],H [mm],b [mm],Ls [mm],d [mm],2π/n [rad],γ [N/mm3],Pmax [N],δ(Pmax) [mm],γAH' [N],Vroot [mm3],P0 [N],DR [ ],Material,d50 [mm],φ [°]
3,15,75.0,90.0,19.4114,17.55556302831988,5.0,2.0943951023931953,1.622752809e-05,9.080643766215948,0.4793945199999985,1.2649815809964386,4534.350557118027,0.04693902477297509,0.8,F110,0.12,39.33
3,15,50.0,90.0,12.941,41.70370868554659,5.0,2.0943951023931953,1.622752809e-05,8.758712685220127,0.6454851200000002,0.6309417572476642,3535.8767319638096,0.15424938510491631,0.8,F110,0.12,39.33
6,15,75.0,90.0,19.4114,17.55556302831988,5.0,1.0471975511965976,1.622752809e-05,11.753734108513035,0.5501716199999991,1.2649815809964386,8267.564868262021,0.7200287064686859,0.8,F110,0.12,39.33
6,15,50.0,90.0,12.941,41.70370868554659,5.0,1.0471975511965976,1.622752809e-05,10.797682927270914,0.4954396999999988,0.6309417572476642,5796.469486737588,1.032217725719171,0.8,F110,0.12,39.33
F,15,75.0,90.0,19.4114,17.55556302831988,5.0,0.0,1.622752809e-05,14.095078801970407,0.33274508000000014,1.2649815809964386,23281.011642582493,2.0175684879412334,0.8,F110,0.12,39.33
2,30,50.0,90.0,25.0,46.69872981077806,5.0,3.141592653589793,1.622752809e-05,9.423977046144007,1.550395679999999,2.407742793558479,2827.91895692997,0.34148815540773536,0.8,F110,0.12,39.33
3,30,50.0,60.0,25.0,16.69872981077806,5.0,2.0943951023931953,1.622752809e-05,4.436996466849161,0.8577224399999982,1.4518624866809922,3154.9882045997947,1.5395424524974817,0.8,F110,0.12,39.33
3,30,75.0,90.0,37.5,25.0480947161671,5.0,2.0943951023931953,1.622752809e-05,11.139099021402782,7.68458204,4.900035892548349,4791.549157525702,1.2761375825402999,0.8,F110,0.12,39.33
3,30,50.0,90.0,25.0,46.69872981077806,5.0,2.0943951023931953,1.622752809e-05,11.187882725873392,1.3981760200000026,2.407742793558479,3744.036827147881,1.471273735,0.8,F110,0.12,39.33
3,30,50.0,90.0,25.0,46.69873,5.0,2.0943951023931953,1.622752809e-05,12.050443881944998,0.8075167999999954,2.407742793558479,3744.036827147881,2.4328356933299995,0.8,F110,0.12,39.33
3,30,50.0,120.0,25.0,76.69872981077806,5.0,2.0943951023931953,1.622752809e-05,21.138668177463693,3.549134379999999,3.363623100435967,4333.085449695967,2.915093458144712,0.8,F110,0.12,39.33
3,30,50.0,120.0,25.0,76.69873,5.0,2.0943951023931953,1.622752809e-05,22.377158183415002,3.2270492873132124,3.363623100435967,4333.085449695967,4.523873349554999,0.8,F110,0.12,39.33
3,30,50.0,150.0,25.0,106.69873,5.0,2.0943951023931953,1.622752809e-05,35.88357970022,3.9941708917426975,4.319503407313454,4922.134072244054,5.215328473075,0.8,F110,0.12,39.33
6,30,50.0,60.0,25.0,16.69872981077806,5.0,1.0471975511965976,1.622752809e-05,5.7637628783804,0.6392570400000017,1.4518624866809922,5745.8302135841695,0.20303353439821956,0.8,F110,0.12,39.33
6,30,75.0,90.0,37.5,25.0480947161671,5.0,1.0471975511965976,1.622752809e-05,14.592589405727521,6.92311544,4.900035892548348,8855.012722880292,2.710214799226168,0.8,F110,0.12,39.33
6,30,50.0,90.0,25.0,46.69872981077806,5.0,1.0471975511965976,1.622752809e-05,13.890200587874554,0.7424013600000011,2.407742793558479,6334.878836132256,3.2370245391405317,0.8,F110,0.12,39.33
6,30,50.0,120.0,25.0,76.69872981077806,5.0,1.0471975511965976,1.622752809e-05,26.367723489059344,1.0442879800000036,3.363623100435967,6923.927458680342,3.94915586356152,0.8,F110,0.12,39.33
6,30,50.0,120.0,25.0,76.69873,5.0,1.0471975511965976,1.622752809e-05,27.943116562584994,2.1126424599999982,3.3636231004359676,6923.927458680342,7.7644082728449995,0.8,F110,0.12,39.33
6,30,50.0,150.0,25.0,106.69873,5.0,1.0471975511965976,1.622752809e-05,46.467243922330006,2.71812004,4.319503407313454,7512.9760812284285,9.977065060375,0.8,F110,0.12,39.33
9,30,50.0,90.0,25.0,46.69872981077806,5.0,0.6981317007977318,1.622752809e-05,16.465722631585038,0.5715025399999949,2.407742793558479,8689.453442612594,4.241860314498643,0.8,F110,0.12,39.33
12,30,50.0,90.0,25.0,46.69872981077806,5.0,0.5235987755982988,1.622752809e-05,16.95349072877412,0.37926772000000125,2.407742793558479,10807.760646588895,5.236953138466041,0.8,F110,0.12,39.33
F,30,50.0,90.0,25.0,46.69872981077806,5.0,0.0,1.622752809e-05,18.007110208602843,0.2950921200000003,2.407742793558479,20595.51473189553,5.958826969455055,0.8,F110,0.12,39.33
2,45,35.3553,90.0,25.0,65.0,5.0,3.141592653589793,1.622752809e-05,9.560514481357332,1.1538534200000015,2.602118613166494,2627.546101587218,0.8096991781849023,0.8,F110,0.12,39.33
3,45,35.3553,60.0,25.0,35.0,5.0,2.0943951023931953,1.622752809e-05,5.383233080247388,0.6971055400000001,1.6462383062890062,2686.289870508294,2.2224467020370855,0.8,F110,0.12,39.33
3,45,75.0,90.0,53.033,36.966991411008934,5.0,2.0943951023931953,1.622752809e-05,14.934077561135252,8.375553479999999,10.369720768245529,5060.176706882071,2.2028900724478575,0.8,F110,0.12,39.33
3,45,50.0,90.0,35.3553,54.64466094067262,5.0,2.0943951023931953,1.622752809e-05,14.153605457831734,1.7367732600000019,4.984261161403871,3934.6553800554766,2.2809733578984113,0.8,F110,0.12,39.33
3,45,35.3553,90.0,25.0,65.0,5.0,2.0943951023931953,1.622752809e-05,13.02197475382832,1.0563707600000027,2.602118613166494,3275.3384930563802,2.3882837182303525,0.8,F110,0.12,39.33
3,45,35.355339,90.0,25.0,65.0,5.0,2.0943951023931953,1.622752809e-05,14.669144032059997,1.3005968399999983,2.602118613166494,3275.3402488696497,3.199809867169998,0.8,F110,0.12,39.33
3,45,35.3553,120.0,25.0,95.0,5.0,2.0943951023931953,1.622752809e-05,24.543372188381674,1.8965392600000053,3.5579989200439814,3864.3871156044665,2.5346357212875668,0.8,F110,0.12,39.33
3,45,35.355339,120.0,25.0,95.0,5.0,2.0943951023931953,1.622752809e-05,25.43328787944,2.1102828000000025,3.5579989200439814,3864.388871417736,6.2667494334899985,0.8,F110,0.12,39.33
3,45,35.355339,150.0,25.0,125.0,5.0,2.0943951023931953,1.622752809e-05,42.357748607195,2.942813520000001,4.5138792269214685,4453.437493965822,6.302060238144999,0.8,F110,0.12,39.33
6,45,35.3553,60.0,25.0,35.0,5.0,1.0471975511965976,1.622752809e-05,6.788083222051873,0.5815965000000004,1.6462383062890062,4518.289523259826,2.7395143802061104,0.8,F110,0.12,39.33
6,45,75.0,90.0,53.033,36.966991411008934,5.0,1.0471975511965976,1.622752809e-05,21.733747524630093,5.826544099999999,10.369720768245529,9227.441952266814,5.188169433995429,0.8,F110,0.12,39.33
