n [count],α [°],L [mm],H [mm],b [mm],H/2b [ ],Ls [mm],d [mm],P [ ],2π/n [rad],γ [N/mm3],δ(Pmax) [mm],max(ktan) [N/mm],γAH' [N],Nγ [ ],Vroot [mm3],F/Nroot [ ],P0 [N],DR [ ],Material,d50 [mm],φ [°],f
3,15,75.0,90.0,19.4114,2.3182,17.55556302831988,5.0,1.0,2.0943951023931953,1.622752809e-05,0.4793945199999985,61.23639979235585,1.2649815809964386,7.178479040827641,4534.350557118027,185.58371027050168,0.04693902477297509,0.8,F110,0.12,39.33,0.7987987987987988
3,15,50.0,90.0,12.941,3.4773,41.70370868554659,5.0,1.0,2.0943951023931953,1.622752809e-05,0.6454851200000002,70.27771397321976,0.6309417572476642,13.881967051012698,3535.8767319638096,229.55220644866498,0.15424938510491631,0.8,F110,0.12,39.33,0.7827827827827828
6,15,75.0,90.0,19.4114,2.3182,17.55556302831988,5.0,1.0,1.0471975511965976,1.622752809e-05,0.5501716199999991,78.22904970223789,1.2649815809964386,9.291624704333245,8267.564868262021,131.74573304661325,0.7200287064686859,0.8,F110,0.12,39.33,0.8878878878878879
6,15,50.0,90.0,12.941,3.4773,41.70370868554659,5.0,1.0,1.0471975511965976,1.622752809e-05,0.4954396999999988,99.75425196421176,0.6309417572476642,17.113596941773643,5796.469486737588,172.6256487573334,1.032217725719171,0.8,F110,0.12,39.33,0.8878878878878879
F,15,75.0,90.0,19.4114,2.3182,17.55556302831988,5.0,1.0,0.0,1.622752809e-05,0.33274508000000014,130.3136791614056,1.2649815809964386,11.142517024530566,23281.011642582493,56.105310174682714,2.0175684879412334,0.8,F110,0.12,39.33,0.955955955955956
2,30,50.0,90.0,25.0,1.8,46.69872981077806,5.0,1.0,3.141592653589793,1.622752809e-05,1.550395679999999,49.32206520297532,2.407742793558479,3.914029800590126,2827.91895692997,308.82010613816675,0.34148815540773536,0.8,F110,0.12,39.33,0.6576576576576577
3,30,50.0,60.0,25.0,1.2,16.69872981077806,5.0,1.0,2.0943951023931953,1.622752809e-05,0.8577224399999982,13.455425443223069,1.4518624866809922,3.056072119469309,3154.9882045997947,130.32557521685985,1.5395424524974817,0.8,F110,0.12,39.33,0.8068068068068068
3,30,75.0,90.0,37.5,1.2,25.0480947161671,5.0,1.0,2.0943951023931953,1.622752809e-05,7.68458204,59.12273815418017,4.900035892548349,2.2732688628551454,4791.549157525702,215.43309665169835,1.2761375825402999,0.8,F110,0.12,39.33,0.7067067067067067
3,30,50.0,90.0,25.0,1.8,46.69872981077806,5.0,1.0,2.0943951023931953,1.622752809e-05,1.3981760200000026,76.69531603893006,2.407742793558479,4.64662702170877,3744.036827147881,276.9147574175313,1.471273735,0.8,F110,0.12,39.33,0.7367367367367368
3,30,50.0,90.0,25.0,1.8,46.69873,5.0,1.0,2.0943951023931953,1.622752809e-05,0.8075167999999954,195.77200295106294,2.407742793558479,5.004871747174982,3744.036827147881,298.26427628037834,2.4328356933299995,0.8,F110,0.12,39.33,0.7727727727727728
3,30,50.0,120.0,25.0,2.4,76.69872981077806,5.0,1.0,2.0943951023931953,1.622752809e-05,3.549134379999999,192.14884903721423,3.363623100435967,6.2844936980971084,4333.085449695967,452.08351962628893,2.915093458144712,0.8,F110,0.12,39.33,0.6336336336336337
3,30,50.0,120.0,25.0,2.4,76.69873,5.0,1.0,2.0943951023931953,1.622752809e-05,3.2270492873132124,115.13225845573974,3.363623100435967,6.652694881455251,4333.085449695967,478.5705677322511,4.523873349554999,0.8,F110,0.12,39.33,0.6676676676676677
